=== Session 2026-05-30 12:21:21 | loaded: C:\torcs\torcs\torcs-ibm-dev\gym_torcs\new\models\episodes\ep_000000 | next: ep_000001 ===
Ep ep_000001 | Time 0:05.61 | Steps   312 | Reward   10694.3 | Avg(10)   10694.3 | Dist     10m (  0.3%) | Buf   0.1% | Total     312 | End: off_track
Ep ep_000021 | Time 0:20.48 | Steps  1024 | Reward   45698.3 | Avg(10)   16687.5 | Dist    148m (  4.6%) | Buf   1.4% | Total    7067 | End: off_track
Ep ep_000022 | Time 0:09.01 | Steps   471 | Reward   18406.1 | Avg(10)   17439.4 | Dist     10m (  0.3%) | Buf   1.5% | Total    7538 | End: off_track
Ep ep_000023 | Time 0:08.83 | Steps   462 | Reward   17964.4 | Avg(10)   18434.2 | Dist     10m (  0.3%) | Buf   1.6% | Total    8000 | End: off_track
Ep ep_000024 | Time 0:07.26 | Steps   387 | Reward   14374.5 | Avg(10)   18794.1 | Dist     10m (  0.3%) | Buf   1.7% | Total    8387 | End: off_track
Ep ep_000025 | Time 0:07.68 | Steps   406 | Reward   15320.4 | Avg(10)   19336.9 | Dist     10m (  0.3%) | Buf   1.8% | Total    8793 | End: off_track
Ep ep_000026 | Time 0:07.11 | Steps   380 | Reward   14123.9 | Avg(10)   20029.3 | Dist     10m (  0.3%) | Buf   1.8% | Total    9173 | End: off_track
Ep ep_000027 | Time 0:05.48 | Steps   306 | Reward   10370.3 | Avg(10)   20537.0 | Dist     10m (  0.3%) | Buf   1.9% | Total    9479 | End: off_track
Ep ep_000028 | Time 0:08.23 | Steps   432 | Reward   16611.9 | Avg(10)   21668.2 | Dist     10m (  0.3%) | Buf   2.0% | Total    9911 | End: off_track
Ep ep_000029 | Time 0:08.29 | Steps   435 | Reward   16778.4 | Avg(10)   22903.4 | Dist     10m (  0.3%) | Buf   2.1% | Total   10346 | End: off_track
Ep ep_000030 | Time 0:07.86 | Steps   414 | Reward   15782.2 | Avg(10)   18543.0 | Dist     10m (  0.3%) | Buf   2.2% | Total   10760 | End: off_track
Ep ep_000031 | Time 0:07.84 | Steps   413 | Reward   15765.5 | Avg(10)   15549.8 | Dist     10m (  0.3%) | Buf   2.2% | Total   11173 | End: off_track
Ep ep_000032 | Time 0:07.40 | Steps   393 | Reward   14825.0 | Avg(10)   15191.7 | Dist     10m (  0.3%) | Buf   2.3% | Total   11566 | End: off_track
Ep ep_000033 | Time 0:07.48 | Steps   397 | Reward   15016.0 | Avg(10)   14896.8 | Dist     10m (  0.3%) | Buf   2.4% | Total   11963 | End: off_track
Ep ep_000034 | Time 0:07.24 | Steps   386 | Reward   14491.2 | Avg(10)   14908.5 | Dist     10m (  0.3%) | Buf   2.5% | Total   12349 | End: off_track
Ep ep_000035 | Time 0:08.41 | Steps   441 | Reward   17246.1 | Avg(10)   15101.1 | Dist     10m (  0.3%) | Buf   2.6% | Total   12790 | End: off_track
Ep ep_000036 | Time 0:07.55 | Steps   400 | Reward   15261.7 | Avg(10)   15214.8 | Dist     10m (  0.3%) | Buf   2.6% | Total   13190 | End: off_track
Ep ep_000037 | Time 0:07.20 | Steps   384 | Reward   14548.9 | Avg(10)   15632.7 | Dist     10m (  0.3%) | Buf   2.7% | Total   13574 | End: off_track
Ep ep_000038 | Time 0:08.31 | Steps   436 | Reward   17126.4 | Avg(10)   15684.1 | Dist     10m (  0.3%) | Buf   2.8% | Total   14010 | End: off_track
Ep ep_000039 | Time 0:08.39 | Steps   440 | Reward   17356.7 | Avg(10)   15742.0 | Dist     10m (  0.3%) | Buf   2.9% | Total   14450 | End: off_track
Ep ep_000040 | Time 0:08.25 | Steps   433 | Reward   17035.7 | Avg(10)   15867.3 | Dist     10m (  0.3%) | Buf   3.0% | Total   14883 | End: off_track
Ep ep_000041 | Time 0:20.08 | Steps  1006 | Reward   45684.9 | Avg(10)   18859.3 | Dist    141m (  4.4%) | Buf   3.2% | Total   15889 | End: off_track
Ep ep_000042 | Time 0:09.17 | Steps   479 | Reward   19411.1 | Avg(10)   19317.9 | Dist     10m (  0.3%) | Buf   3.3% | Total   16368 | End: off_track
Ep ep_000043 | Time 0:09.37 | Steps   489 | Reward   19928.8 | Avg(10)   19809.1 | Dist     10m (  0.3%) | Buf   3.4% | Total   16857 | End: off_track
Ep ep_000044 | Time 1:03.33 | Steps  3114 | Reward  143159.0 | Avg(10)   32675.9 | Dist   1217m ( 38.0%) | Buf   4.0% | Total   19971 | End: off_track
Ep ep_000045 | Time 0:57.43 | Steps  2819 | Reward  134317.5 | Avg(10)   44383.1 | Dist   1256m ( 39.2%) | Buf   4.6% | Total   22790 | End: off_track
Ep ep_000046 | Time 0:19.38 | Steps   974 | Reward   43904.3 | Avg(10)   47247.3 | Dist    117m (  3.7%) | Buf   4.8% | Total   23764 | End: off_track
Ep ep_000047 | Time 0:33.29 | Steps  1612 | Reward   74804.7 | Avg(10)   53272.9 | Dist    421m ( 13.2%) | Buf   5.1% | Total   25376 | End: off_track
Ep ep_000048 | Time 0:18.70 | Steps   943 | Reward   42519.9 | Avg(10)   55812.3 | Dist    121m (  3.8%) | Buf   5.3% | Total   26319 | End: off_track
Ep ep_000049 | Time 0:52.31 | Steps  2563 | Reward  123084.3 | Avg(10)   66385.0 | Dist   1261m ( 39.4%) | Buf   5.8% | Total   28882 | End: off_track
Ep ep_000050 | Time 0:17.90 | Steps   907 | Reward   40933.1 | Avg(10)   68774.8 | Dist    114m (  3.6%) | Buf   6.0% | Total   29789 | End: off_track
Ep ep_000051 | Time 0:18.06 | Steps   914 | Reward   41309.7 | Avg(10)   68337.2 | Dist    128m (  4.0%) | Buf   6.1% | Total   30703 | End: off_track
Ep ep_000052 | Time 0:17.44 | Steps   886 | Reward   39921.1 | Avg(10)   70388.2 | Dist    111m (  3.5%) | Buf   6.3% | Total   31589 | End: off_track
Ep ep_000053 | Time 0:17.35 | Steps   882 | Reward   39741.0 | Avg(10)   72369.5 | Dist    109m (  3.4%) | Buf   6.5% | Total   32471 | End: off_track
Ep ep_000054 | Time 0:17.53 | Steps   890 | Reward   40038.5 | Avg(10)   62057.4 | Dist    114m (  3.6%) | Buf   6.7% | Total   33361 | End: off_track
Ep ep_000055 | Time 0:17.60 | Steps   893 | Reward   40273.1 | Avg(10)   52653.0 | Dist    129m (  4.0%) | Buf   6.9% | Total   34254 | End: off_track
Ep ep_000056 | Time 0:17.35 | Steps   882 | Reward   39654.0 | Avg(10)   52227.9 | Dist    114m (  3.5%) | Buf   7.0% | Total   35136 | End: off_track
Ep ep_000057 | Time 0:17.33 | Steps   881 | Reward   39741.0 | Avg(10)   48721.6 | Dist    111m (  3.5%) | Buf   7.2% | Total   36017 | End: off_track
Ep ep_000058 | Time 0:16.98 | Steps   865 | Reward   38863.9 | Avg(10)   48356.0 | Dist    106m (  3.3%) | Buf   7.4% | Total   36882 | End: off_track
Ep ep_000059 | Time 0:51.15 | Steps  2505 | Reward  120586.8 | Avg(10)   48106.2 | Dist   1274m ( 39.8%) | Buf   7.9% | Total   39387 | End: off_track
Ep ep_000060 | Time 0:22.04 | Steps  1095 | Reward   49014.8 | Avg(10)   48914.4 | Dist    160m (  5.0%) | Buf   8.1% | Total   40482 | End: off_track
Ep ep_000061 | Time 0:17.86 | Steps   905 | Reward   40818.0 | Avg(10)   48865.2 | Dist    134m (  4.2%) | Buf   8.3% | Total   41387 | End: off_track
Ep ep_000062 | Time 0:19.36 | Steps   973 | Reward   44211.3 | Avg(10)   49294.2 | Dist    166m (  5.2%) | Buf   8.5% | Total   42360 | End: off_track
Ep ep_000063 | Time 0:10.91 | Steps   566 | Reward   23874.6 | Avg(10)   47707.6 | Dist     10m (  0.3%) | Buf   8.6% | Total   42926 | End: off_track
Ep ep_000064 | Time 0:17.79 | Steps   902 | Reward   40603.6 | Avg(10)   47764.1 | Dist    129m (  4.0%) | Buf   8.8% | Total   43828 | End: off_track
Ep ep_000065 | Time 0:10.91 | Steps   566 | Reward   23823.7 | Avg(10)   46119.2 | Dist     10m (  0.3%) | Buf   8.9% | Total   44394 | End: off_track
Ep ep_000066 | Time 0:11.09 | Steps   575 | Reward   24313.9 | Avg(10)   44585.2 | Dist     10m (  0.3%) | Buf   9.0% | Total   44969 | End: off_track
Ep ep_000067 | Time 0:52.67 | Steps  2581 | Reward  121173.8 | Avg(10)   52728.4 | Dist   1302m ( 40.7%) | Buf   9.5% | Total   47550 | End: off_track
Ep ep_000068 | Time 0:08.97 | Steps   469 | Reward   18871.6 | Avg(10)   50729.2 | Dist     10m (  0.3%) | Buf   9.6% | Total   48019 | End: off_track
Ep ep_000069 | Time 0:11.27 | Steps   584 | Reward   24644.4 | Avg(10)   41135.0 | Dist     10m (  0.3%) | Buf   9.7% | Total   48603 | End: off_track
Ep ep_000070 | Time 0:08.69 | Steps   455 | Reward   18099.9 | Avg(10)   38043.5 | Dist     10m (  0.3%) | Buf   9.8% | Total   49058 | End: off_track
Ep ep_000071 | Time 0:55.59 | Steps  2727 | Reward  130465.4 | Avg(10)   47008.2 | Dist   1286m ( 40.2%) | Buf  10.4% | Total   51785 | End: off_track
Ep ep_000072 | Time 0:08.99 | Steps   470 | Reward   18651.4 | Avg(10)   44452.2 | Dist     10m (  0.3%) | Buf  10.5% | Total   52255 | End: off_track
Ep ep_000073 | Time 0:08.83 | Steps   462 | Reward   18193.7 | Avg(10)   43884.1 | Dist     10m (  0.3%) | Buf  10.5% | Total   52717 | End: off_track
Ep ep_000074 | Time 0:11.41 | Steps   591 | Reward   24678.3 | Avg(10)   42291.6 | Dist     10m (  0.3%) | Buf  10.7% | Total   53308 | End: off_track
Ep ep_000075 | Time 0:09.05 | Steps   473 | Reward   18641.1 | Avg(10)   41773.3 | Dist     10m (  0.3%) | Buf  10.8% | Total   53781 | End: off_track
Ep ep_000076 | Time 0:09.09 | Steps   475 | Reward   18525.6 | Avg(10)   41194.5 | Dist     10m (  0.3%) | Buf  10.9% | Total   54256 | End: off_track
Ep ep_000077 | Time 0:10.91 | Steps   566 | Reward   22997.5 | Avg(10)   31376.9 | Dist     10m (  0.3%) | Buf  11.0% | Total   54822 | End: off_track
Ep ep_000078 | Time 0:11.19 | Steps   580 | Reward   23506.5 | Avg(10)   31840.4 | Dist     10m (  0.3%) | Buf  11.1% | Total   55402 | End: off_track
Ep ep_000079 | Time 0:09.07 | Steps   474 | Reward   18355.1 | Avg(10)   31211.4 | Dist     10m (  0.3%) | Buf  11.2% | Total   55876 | End: off_track
Ep ep_000080 | Time 0:11.09 | Steps   575 | Reward   23436.1 | Avg(10)   31745.1 | Dist     10m (  0.3%) | Buf  11.3% | Total   56451 | End: off_track
Ep ep_000081 | Time 0:08.83 | Steps   462 | Reward   17735.1 | Avg(10)   20472.0 | Dist     10m (  0.3%) | Buf  11.4% | Total   56913 | End: off_track
Ep ep_000082 | Time 0:10.27 | Steps   534 | Reward   21343.6 | Avg(10)   20741.2 | Dist     10m (  0.3%) | Buf  11.5% | Total   57447 | End: off_track
Ep ep_000083 | Time 0:10.25 | Steps   533 | Reward   21374.5 | Avg(10)   21059.3 | Dist     10m (  0.3%) | Buf  11.6% | Total   57980 | End: off_track
Ep ep_000084 | Time 0:09.27 | Steps   484 | Reward   18862.5 | Avg(10)   20477.7 | Dist     10m (  0.3%) | Buf  11.7% | Total   58464 | End: off_track
Ep ep_000085 | Time 0:08.69 | Steps   455 | Reward   17361.5 | Avg(10)   20349.8 | Dist     10m (  0.3%) | Buf  11.8% | Total   58919 | End: off_track
Ep ep_000086 | Time 0:08.73 | Steps   457 | Reward   17480.4 | Avg(10)   20245.3 | Dist     10m (  0.3%) | Buf  11.9% | Total   59376 | End: off_track
Ep ep_000087 | Time 0:08.67 | Steps   454 | Reward   17346.8 | Avg(10)   19680.2 | Dist     10m (  0.3%) | Buf  12.0% | Total   59830 | End: off_track
Ep ep_000088 | Time 0:08.89 | Steps   465 | Reward   17967.9 | Avg(10)   19126.3 | Dist     10m (  0.3%) | Buf  12.1% | Total   60295 | End: off_track
Ep ep_000089 | Time 0:08.61 | Steps   451 | Reward   17226.4 | Avg(10)   19013.5 | Dist     10m (  0.3%) | Buf  12.1% | Total   60746 | End: off_track
Ep ep_000090 | Time 0:10.13 | Steps   527 | Reward   21102.3 | Avg(10)   18780.1 | Dist     10m (  0.3%) | Buf  12.3% | Total   61273 | End: off_track
Ep ep_000091 | Time 0:09.23 | Steps   482 | Reward   18828.7 | Avg(10)   18889.4 | Dist     10m (  0.3%) | Buf  12.4% | Total   61755 | End: off_track
Ep ep_000092 | Time 0:09.21 | Steps   481 | Reward   18802.8 | Avg(10)   18635.4 | Dist     10m (  0.3%) | Buf  12.4% | Total   62236 | End: off_track
Ep ep_000093 | Time 0:06.25 | Steps   341 | Reward   11749.5 | Avg(10)   17672.9 | Dist     10m (  0.3%) | Buf  12.5% | Total   62577 | End: off_track
Ep ep_000094 | Time 0:11.91 | Steps   616 | Reward   25505.5 | Avg(10)   18337.2 | Dist     10m (  0.3%) | Buf  12.6% | Total   63193 | End: off_track
Ep ep_000095 | Time 0:08.87 | Steps   464 | Reward   17911.3 | Avg(10)   18392.1 | Dist     10m (  0.3%) | Buf  12.7% | Total   63657 | End: off_track
Ep ep_000096 | Time 0:12.89 | Steps   665 | Reward   27940.2 | Avg(10)   19438.1 | Dist     10m (  0.3%) | Buf  12.9% | Total   64322 | End: off_track
Ep ep_000097 | Time 0:08.95 | Steps   468 | Reward   18094.0 | Avg(10)   19512.8 | Dist     10m (  0.3%) | Buf  13.0% | Total   64790 | End: off_track
Ep ep_000098 | Time 0:09.07 | Steps   474 | Reward   18379.5 | Avg(10)   19554.0 | Dist     10m (  0.3%) | Buf  13.1% | Total   65264 | End: off_track
Ep ep_000099 | Time 0:05.94 | Steps   327 | Reward   11051.9 | Avg(10)   18936.6 | Dist     10m (  0.3%) | Buf  13.1% | Total   65591 | End: off_track
Ep ep_000100 | Time 0:06.10 | Steps   334 | Reward   11420.0 | Avg(10)   17968.3 | Dist     10m (  0.3%) | Buf  13.2% | Total   65925 | End: off_track
Ep ep_000101 | Time 0:05.64 | Steps   313 | Reward   10359.8 | Avg(10)   17121.5 | Dist     10m (  0.3%) | Buf  13.2% | Total   66238 | End: off_track
Ep ep_000102 | Time 0:06.93 | Steps   372 | Reward   13274.3 | Avg(10)   16568.6 | Dist     10m (  0.3%) | Buf  13.3% | Total   66610 | End: off_track
Ep ep_000103 | Time 0:09.11 | Steps   476 | Reward   18498.0 | Avg(10)   17243.5 | Dist     10m (  0.3%) | Buf  13.4% | Total   67086 | End: off_track
Ep ep_000104 | Time 0:05.92 | Steps   326 | Reward   10994.0 | Avg(10)   15792.3 | Dist     10m (  0.3%) | Buf  13.5% | Total   67412 | End: off_track
Ep ep_000105 | Time 0:06.23 | Steps   340 | Reward   11644.2 | Avg(10)   15165.6 | Dist     10m (  0.3%) | Buf  13.6% | Total   67752 | End: off_track
Ep ep_000106 | Time 0:06.01 | Steps   330 | Reward   11117.7 | Avg(10)   13483.3 | Dist     10m (  0.3%) | Buf  13.6% | Total   68082 | End: off_track
Ep ep_000107 | Time 0:06.49 | Steps   352 | Reward   12189.1 | Avg(10)   12892.9 | Dist     10m (  0.3%) | Buf  13.7% | Total   68434 | End: off_track
Ep ep_000108 | Time 0:12.39 | Steps   640 | Reward   26583.7 | Avg(10)   13713.3 | Dist     10m (  0.3%) | Buf  13.8% | Total   69074 | End: off_track
Ep ep_000109 | Time 0:06.03 | Steps   331 | Reward   11129.4 | Avg(10)   13721.0 | Dist     10m (  0.3%) | Buf  13.9% | Total   69405 | End: off_track
Ep ep_000110 | Time 0:05.92 | Steps   326 | Reward   10850.7 | Avg(10)   13664.1 | Dist     10m (  0.3%) | Buf  13.9% | Total   69731 | End: off_track
  [ai-swap] loaded models/episodes/ep_000053 | new branch=1 | next=ep_000054.1
Ep ep_000054.1 | Time 0:16.74 | Steps   854 | Reward   38327.1 | Avg(10)   38327.1 | Dist    111m (  3.5%) | Buf   0.2% | Total   70585 | End: off_track
Ep ep_000055.1 | Time 0:17.84 | Steps   904 | Reward   40916.8 | Avg(10)   39622.0 | Dist    131m (  4.1%) | Buf   0.4% | Total   71489 | End: off_track
Ep ep_000056.1 | Time 0:16.83 | Steps   858 | Reward   38568.8 | Avg(10)   39270.9 | Dist    111m (  3.5%) | Buf   0.5% | Total   72347 | End: off_track
Ep ep_000057.1 | Time 0:17.62 | Steps   894 | Reward   40137.1 | Avg(10)   39487.4 | Dist    111m (  3.5%) | Buf   0.7% | Total   73241 | End: off_track
Ep ep_000058.1 | Time 0:18.21 | Steps   921 | Reward   41697.8 | Avg(10)   39929.5 | Dist    129m (  4.0%) | Buf   0.9% | Total   74162 | End: off_track
Ep ep_000059.1 | Time 0:52.15 | Steps  2555 | Reward  123428.9 | Avg(10)   53846.1 | Dist   1308m ( 40.9%) | Buf   1.4% | Total   76717 | End: off_track
Ep ep_000060.1 | Time 0:16.76 | Steps   855 | Reward   38234.4 | Avg(10)   51615.8 | Dist     58m (  1.8%) | Buf   1.6% | Total   77572 | End: off_track
Ep ep_000061.1 | Time 0:15.53 | Steps   797 | Reward   35669.5 | Avg(10)   49622.5 | Dist     71m (  2.2%) | Buf   1.7% | Total   78369 | End: off_track
Ep ep_000062.1 | Time 0:03.94 | Steps   236 | Reward    7636.3 | Avg(10)   44957.4 | Dist     10m (  0.3%) | Buf   1.8% | Total   78605 | End: off_track
Ep ep_000063.1 | Time 0:22.74 | Steps  1127 | Reward   52042.8 | Avg(10)   45665.9 | Dist    346m ( 10.8%) | Buf   2.0% | Total   79732 | End: off_track
Ep ep_000064.1 | Time 0:14.09 | Steps   725 | Reward   32067.5 | Avg(10)   45040.0 | Dist     43m (  1.3%) | Buf   2.1% | Total   80457 | End: off_track
Ep ep_000065.1 | Time 0:25.38 | Steps  1247 | Reward   57700.2 | Avg(10)   46718.3 | Dist    357m ( 11.1%) | Buf   2.4% | Total   81704 | End: off_track
Ep ep_000066.1 | Time 0:15.47 | Steps   794 | Reward   35359.1 | Avg(10)   46397.4 | Dist     60m (  1.9%) | Buf   2.6% | Total   82498 | End: off_track
Ep ep_000067.1 | Time 0:15.31 | Steps   786 | Reward   35109.0 | Avg(10)   45894.6 | Dist     58m (  1.8%) | Buf   2.7% | Total   83284 | End: off_track
Ep ep_000068.1 | Time 0:16.14 | Steps   827 | Reward   36804.3 | Avg(10)   45405.2 | Dist     55m (  1.7%) | Buf   2.9% | Total   84111 | End: off_track
Ep ep_000069.1 | Time 0:15.07 | Steps   774 | Reward   34316.0 | Avg(10)   36493.9 | Dist     59m (  1.8%) | Buf   3.0% | Total   84885 | End: off_track
Ep ep_000070.1 | Time 0:15.57 | Steps   799 | Reward   35833.0 | Avg(10)   36253.8 | Dist     58m (  1.8%) | Buf   3.2% | Total   85684 | End: off_track
Ep ep_000071.1 | Time 0:14.35 | Steps   738 | Reward   32785.5 | Avg(10)   35965.4 | Dist     56m (  1.7%) | Buf   3.3% | Total   86422 | End: off_track
Ep ep_000072.1 | Time 0:15.49 | Steps   795 | Reward   35619.3 | Avg(10)   38763.7 | Dist     56m (  1.8%) | Buf   3.5% | Total   87217 | End: off_track
Ep ep_000073.1 | Time 0:15.65 | Steps   803 | Reward   35868.0 | Avg(10)   37146.2 | Dist     42m (  1.3%) | Buf   3.7% | Total   88020 | End: off_track
Ep ep_000074.1 | Time 0:14.41 | Steps   741 | Reward   32888.5 | Avg(10)   37228.3 | Dist     61m (  1.9%) | Buf   3.8% | Total   88761 | End: off_track
Ep ep_000075.1 | Time 0:13.83 | Steps   712 | Reward   31434.7 | Avg(10)   34601.8 | Dist     44m (  1.4%) | Buf   3.9% | Total   89473 | End: off_track
Ep ep_000076.1 | Time 0:47.29 | Steps  2312 | Reward  111442.0 | Avg(10)   42210.0 | Dist   1254m ( 39.2%) | Buf   4.4% | Total   91785 | End: off_track
Ep ep_000077.1 | Time 0:50.55 | Steps  2475 | Reward  119162.3 | Avg(10)   50615.4 | Dist   1318m ( 41.2%) | Buf   4.9% | Total   94260 | End: off_track
Ep ep_000078.1 | Time 0:51.01 | Steps  2498 | Reward  120606.3 | Avg(10)   58995.6 | Dist   1355m ( 42.3%) | Buf   5.4% | Total   96758 | End: off_track
Ep ep_000079.1 | Time 1:06.41 | Steps  3257 | Reward  158594.7 | Avg(10)   71423.4 | Dist   1832m ( 57.2%) | Buf   6.1% | Total  100015 | End: off_track
Ep ep_000080.1 | Time 0:56.23 | Steps  2759 | Reward  132984.0 | Avg(10)   81138.5 | Dist   1580m ( 49.4%) | Buf   6.6% | Total  102774 | End: off_track
Ep ep_000081.1 | Time 0:56.49 | Steps  2772 | Reward  134238.9 | Avg(10)   91283.9 | Dist   1552m ( 48.5%) | Buf   7.2% | Total  105546 | End: off_track
Ep ep_000082.1 | Time 0:58.15 | Steps  2855 | Reward  138360.9 | Avg(10)  101558.0 | Dist   1693m ( 52.9%) | Buf   7.7% | Total  108401 | End: off_track
Ep ep_000083.1 | Time 1:02.55 | Steps  3075 | Reward  149581.8 | Avg(10)  112929.4 | Dist   1748m ( 54.6%) | Buf   8.3% | Total  111476 | End: off_track
Ep ep_000084.1 | Time 0:55.27 | Steps  2711 | Reward  130790.9 | Avg(10)  122719.6 | Dist   1277m ( 39.9%) | Buf   8.9% | Total  114187 | End: off_track
Ep ep_000085.1 | Time 0:02.45 | Steps   168 | Reward    3602.9 | Avg(10)  119936.5 | Dist     10m (  0.3%) | Buf   8.9% | Total  114355 | End: damage
Ep ep_000086.1 | Time 0:12.61 | Steps   651 | Reward   28392.0 | Avg(10)  111631.5 | Dist     10m (  0.3%) | Buf   9.1% | Total  115006 | End: off_track
Ep ep_000087.1 | Time 0:23.36 | Steps  1155 | Reward   53590.7 | Avg(10)  105074.3 | Dist    329m ( 10.3%) | Buf   9.3% | Total  116161 | End: off_track
Ep ep_000088.1 | Time 0:13.75 | Steps   708 | Reward   30562.6 | Avg(10)   96069.9 | Dist     10m (  0.3%) | Buf   9.4% | Total  116869 | End: off_track
Ep ep_000089.1 | Time 0:02.27 | Steps   160 | Reward    3217.7 | Avg(10)   80532.2 | Dist     10m (  0.3%) | Buf   9.5% | Total  117029 | End: damage
Ep ep_000090.1 | Time 0:14.39 | Steps   740 | Reward   32221.4 | Avg(10)   70456.0 | Dist     12m (  0.4%) | Buf   9.6% | Total  117769 | End: off_track
Ep ep_000091.1 | Time 0:02.16 | Steps   155 | Reward    3013.0 | Avg(10)   57333.4 | Dist     10m (  0.3%) | Buf   9.6% | Total  117924 | End: damage
Ep ep_000092.1 | Time 0:14.47 | Steps   744 | Reward   32866.6 | Avg(10)   46784.0 | Dist     19m (  0.6%) | Buf   9.8% | Total  118668 | End: off_track
Ep ep_000093.1 | Time 0:02.20 | Steps   157 | Reward    3012.4 | Avg(10)   32127.0 | Dist     10m (  0.3%) | Buf   9.8% | Total  118825 | End: damage
Ep ep_000094.1 | Time 0:49.39 | Steps  2417 | Reward  116671.7 | Avg(10)   30715.1 | Dist   1180m ( 36.9%) | Buf  10.3% | Total  121242 | End: off_track
